,ID,case_name,url,cite,dock_raw,docket,summary,jurisdiction,court,case_date,plt,plt_typ,def,def_typ,judge,outcome,outcome_notes,agy,location,statute,species,AIM,TON,OOC,cites,appeals,ej_count,ej_keywords,science,experts,dr_phd,deference,climate_count,climate_keywords,housing_count,housing_keywords,cercla_flag,further_notes,ton_mc1,ton_mc2,ooc_mc1,ooc_mc2,judge_clean,First_Name,Middle,Last_Name,Middle_Initial,n.x,nid,jid,Last.Name,First.Name,Middle.Name,Suffix,Birth.Month,Birth.Day,Birth.Year,Birth.City,Birth.State,Death.Month,Death.Day,Death.Year,Death.City,Death.State,Gender,Race.or.Ethnicity,Court.Type..1.,Court.Name..1.,Appointment.Title..1.,Appointing.President..1.,Party.of.Appointing.President..1.,Reappointing.President..1.,Party.of.Reappointing.President..1.,ABA.Rating..1.,Seat.ID..1.,Statute.Authorizing.New.Seat..1.,Recess.Appointment.Date..1.,Nomination.Date..1.,School..1.,Degree..1.,Degree.Year..1.,School..2.,Degree..2.,Degree.Year..2.,School..3.,Degree..3.,Degree.Year..3.,School..4.,Degree..4.,Degree.Year..4.,School..5.,Degree..5.,Degree.Year..5.,Professional.Career,Other.Nominations.Recess.Appointments,X,party.affiliation.of.president,president.name,court.type,court.name,state,nomination.date.senate.executive.journal,dime.cid,dime.cfscore,imputed.dime.cfscore,jcs.score.dw,jcs.cfscore.cf,pres.dw,pres.dime.cfscore,senscore.dw,senscore.dime.cfscore,state.delegation.dw,state.delegation.dime.cfscore,use.pres,both.sen.opp,unified,birth.year,gender,race.or.ethnicity,aba.rating,law.school,employment.text.field,exit.year,enter.year,jd.rank,degree.type,clerked.for.con,clerked.for.lib,nconts,jud.chair.dw,overimputed.dime.cfscore,court.name1,enter.year1,exit.year1,court.name2,enter.year2,exit.year2,court.name3,enter.year3,exit.year3,exit.yearr,exit.year1r,exit.year2r,circuit,circuit2,circuit3,Middle.Initial,n.y,first_dist,middle_dist,last_dist,total_dist,matched,district,District_FJCBonica,court_mismatch,n,keep
59,1994-0846-allsta-001,Allstate Ins. Co. v. Pooltime Prods.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-THC0-003B-V4HF-00000-00&context=1516831&sourcegroupingtype=G,846 F. Supp. 499,"CIVIL ACTION NO. 93-1106 SECTION ""D"" (6)",93-01106,"Plaintiff insurer's state law negligent manufacturing and packaging claim against manufacturer and retailer of chlorinated tablets registered under Federal Insecticide, Fungicide and Rodenticide Act (FIFRA), 7 U.S.C.S. § 136, et seq., and bearing an EPA registration number was dismissed as it was preempted by § 136v(b) of FIFRA.",U.S. Federal,United States District Court for the Eastern District of Louisiana,1/10/94,allstate insurance co,industry,"pooltime products, inc%home depot, inc",industry,a.j. mcnamara,defendant,none,none,louisiana,fifra,none,seek damages,other-environmental,chlorine tablets,7,no,0,none,0,none,2,no,0,none,0,none,0,none,unknown,unknown,waste & pollution,Production,a.j. mcnamara,a.j.,,mcnamara,NA,1,1384866,1590,mcnamara,a.,j., ,6,9,1936,New Orleans,LA,12,2,2014,Metairie,LA,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Ronald Reagan,Republican,,,Well Qualified,LAED0603, ,,5/5/82,Louisiana State University,B.S.,1959,Loyola University New Orleans School of Law,J.D.,1968,,,,,,NA,,,NA,"U.S. Navy, 1959-1962; Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968; Private practice, New Orleans, Louisiana, 1968-1982; State representative, Louisiana, 1976-1980",,1554,Republican,Ronald Reagan,USDC,"U. S. District Court, Eastern District of Louisiana",LA,5/5/82,3111090599,NA,1.175,0.69,0.98,0.69,0.98,-0.1805,0.257,-0.028,0.369,1,1,1,1936,M,White,Well Qualified,Loyola University New Orleans School of Law,"U.S. Navy, 1959-1962<BR>Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968<BR>Private practice, New Orleans, Louisiana, 1968-1982<BR>State representative, Louisiana, 1976-1980",2001,1982,4,B.S.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,2001,NA,NA,"U. S. District Court, Eastern District of Louisiana",,NA,j,1,2,NA,0,2,1,3L,3L,1,1,1
189,1984-0596-louisi-001,Louisiana v. Lee,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-9TC0-0054-53SR-00000-00&context=1516831&sourcegroupingtype=G,596 F. Supp. 645,Civ. A. No. 83-6126,83-06126,"In granting the five-year extension of six shell dredging permits, it was not unreasonable for the United States Corps of Engineers to determine that the preparation of an environmental impact statement was unnecessary.",U.S. Federal,United States District Court for the Eastern District of Louisiana,9/14/84,state of louisiana,state%ngo,united states corps of engineers,fed,a.j. mcnamara,defendant,none,acoe,louisiana,nepa%rivers and harbors act%cwa,oyster%clam,stop extending permits,fauna%swamp%ocean%reef,shell-dredging permits,8,yes,0,0,1,none,0,no,0,none,0,none,0,none,Biosphere%Landscapes%Landscapes,Fauna%Marine%Freshwater,conservation,Construction-Water Infrastructure,a.j. mcnamara,a.j.,,mcnamara,NA,1,1384866,1590,mcnamara,a.,j., ,6,9,1936,New Orleans,LA,12,2,2014,Metairie,LA,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Ronald Reagan,Republican,,,Well Qualified,LAED0603, ,,5/5/82,Louisiana State University,B.S.,1959,Loyola University New Orleans School of Law,J.D.,1968,,,,,,NA,,,NA,"U.S. Navy, 1959-1962; Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968; Private practice, New Orleans, Louisiana, 1968-1982; State representative, Louisiana, 1976-1980",,1554,Republican,Ronald Reagan,USDC,"U. S. District Court, Eastern District of Louisiana",LA,5/5/82,3111090599,NA,1.175,0.69,0.98,0.69,0.98,-0.1805,0.257,-0.028,0.369,1,1,1,1936,M,White,Well Qualified,Loyola University New Orleans School of Law,"U.S. Navy, 1959-1962<BR>Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968<BR>Private practice, New Orleans, Louisiana, 1968-1982<BR>State representative, Louisiana, 1976-1980",2001,1982,4,B.S.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,2001,NA,NA,"U. S. District Court, Eastern District of Louisiana",,NA,j,1,2,NA,0,2,1,3L,3L,1,1,1
252,1993-1993-united-042,United States v. Arcement,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-HBJ0-001T-64Y7-00000-00&context=1516831&sourcegroupingtype=G,1993 U.S. Dist. LEXIS 10965,"CIVIL ACTION NO. 92-3824 SECTION ""D"" (4)",92-03824,none,U.S. Federal,United States District Court for the Eastern District of Louisiana,8/4/93,united states of america,fed,"craig j. arcement%captain craig, inc",individual%industry,a.j. mcnamara,plaintiff,none,noaa,louisiana,esa,none,punish failure to use a qualified device,fauna%water,turtle excluder device,0,no,0,none,0,none,0,no,0,none,0,none,0,none,Biosphere%Landscapes,Fauna%Freshwater,conservation,Flora/Fauna/Ecosystems,a.j. mcnamara,a.j.,,mcnamara,NA,1,1384866,1590,mcnamara,a.,j., ,6,9,1936,New Orleans,LA,12,2,2014,Metairie,LA,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Ronald Reagan,Republican,,,Well Qualified,LAED0603, ,,5/5/82,Louisiana State University,B.S.,1959,Loyola University New Orleans School of Law,J.D.,1968,,,,,,NA,,,NA,"U.S. Navy, 1959-1962; Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968; Private practice, New Orleans, Louisiana, 1968-1982; State representative, Louisiana, 1976-1980",,1554,Republican,Ronald Reagan,USDC,"U. S. District Court, Eastern District of Louisiana",LA,5/5/82,3111090599,NA,1.175,0.69,0.98,0.69,0.98,-0.1805,0.257,-0.028,0.369,1,1,1,1936,M,White,Well Qualified,Loyola University New Orleans School of Law,"U.S. Navy, 1959-1962<BR>Bailiff/law clerk, Hon. Herbert W. Christenberry, U.S. District Court, Eastern District of Louisiana, 1966-1968<BR>Private practice, New Orleans, Louisiana, 1968-1982<BR>State representative, Louisiana, 1976-1980",2001,1982,4,B.S.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,2001,NA,NA,"U. S. District Court, Eastern District of Louisiana",,NA,j,1,2,NA,0,2,1,3L,3L,1,1,1
108,2010-2010-pérezx-001,PÉrez v. Esso Std. Oil Co. P.R.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5YH1-WJK1-JTNR-M05J-00000-00&context=1516831&sourcegroupingtype=G,2010 U.S. Dist. LEXIS 158919,#N/A,#N/A,none,U.S. Federal,United States District Court for the District of Puerto Rico,9/30/10,noel pérez%sonia pena%conjugal partnership perez-pena,individual,esso standard oil company,industry,aida m. delgado-colon,plaintiff,none,none,puerto rico,rcra%sdwa,none,stop contamination,oil,contamination from leaks,0,no,0,none,0,none,0,no,0,none,0,none,0,none,EMR,Fossil Fuels,waste & pollution,Production,aida m. delgado-colon,aida,m.,delgado-colon,m,1,1392351,3103,delgado-colón,aida,m., ,NA,NA,1955,Lares,Puerto Rico,NA,NA,NA, , ,Female,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,George W. Bush,Republican,,,Well Qualified,PRD0703, ,,10/25/05,University of Puerto Rico,B.A.,1977,Catholic University of Puerto Rico School of Law,J.D.,1980,,,,,,NA,,,NA,"Department of Labor and Human Resources, Commonwealth of Puerto Rico, 1980-1982; legal investigator, 1980-1981; director of research and investigations, 1981-1982; Assistant federal public defender, District of Puerto Rico, 1982-1993; first assistant federal public defender, 1988-1993; acting federal public defender, 1991; Adjunct professor, Pontifical Catholic University of Puerto Rico School of Law, 2003-2004; Member, Judicial Conference of the United States, 2021-present",,407,Republican,George W. Bush,USDC,"U. S. District Court, District of Puerto Rico",PR,10/25/05,NA,NA,0.097,0.724,0.86,0.724,0.86,NA,NA,NA,NA,1,1,1,1955,F,Hispanic,Well Qualified,Catholic University of Puerto Rico School of Law,"Department of Labor and Human Resources, Commonwealth of Puerto Rico, 1980-1982; legal investigator, 1980-1981; director of research and investigations, 1981-1982<br>Assistant federal public defender, District of Puerto Rico, 1982-1993; first assistant federal public defender, 1988-1993; acting federal public defender, 1991<br>Adjunct professor, Pontifical Catholic University of Puerto Rico School of Law, 2003-2004",NA,2006,6,B.A.,0,0,0,0.061,NA,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, District of Puerto Rico",,NA,m,1,0,0,1,1,1,4,4,1,1,1
236,2008-2008-corala-002,Coralations v. P.R. Aqueduct & Sewer Auth.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5Y33-T1C1-DXHD-G1VJ-00000-00&context=1516831&sourcegroupingtype=G,2008 U.S. Dist. LEXIS 134344,Civil No. 05-1187 (ADC),05-01187,none,U.S. Federal,United States District Court for the District of Puerto Rico,3/12/08,coralations%american littoral society,ngo,puerto rico aqueduct and sewer authority,public_org,aida m. delgado-colon,mixed,none,none,puerto rico,cwa,none,stop dumping,toxic waste disposal%ocean,national pollutant discharge elimination system permit,0,no,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Marine%Hazardous Substance,waste & pollution,Flora/Fauna/Ecosystems,aida m. delgado-colon,aida,m.,delgado-colon,m,1,1392351,3103,delgado-colón,aida,m., ,NA,NA,1955,Lares,Puerto Rico,NA,NA,NA, , ,Female,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,George W. Bush,Republican,,,Well Qualified,PRD0703, ,,10/25/05,University of Puerto Rico,B.A.,1977,Catholic University of Puerto Rico School of Law,J.D.,1980,,,,,,NA,,,NA,"Department of Labor and Human Resources, Commonwealth of Puerto Rico, 1980-1982; legal investigator, 1980-1981; director of research and investigations, 1981-1982; Assistant federal public defender, District of Puerto Rico, 1982-1993; first assistant federal public defender, 1988-1993; acting federal public defender, 1991; Adjunct professor, Pontifical Catholic University of Puerto Rico School of Law, 2003-2004; Member, Judicial Conference of the United States, 2021-present",,407,Republican,George W. Bush,USDC,"U. S. District Court, District of Puerto Rico",PR,10/25/05,NA,NA,0.097,0.724,0.86,0.724,0.86,NA,NA,NA,NA,1,1,1,1955,F,Hispanic,Well Qualified,Catholic University of Puerto Rico School of Law,"Department of Labor and Human Resources, Commonwealth of Puerto Rico, 1980-1982; legal investigator, 1980-1981; director of research and investigations, 1981-1982<br>Assistant federal public defender, District of Puerto Rico, 1982-1993; first assistant federal public defender, 1988-1993; acting federal public defender, 1991<br>Adjunct professor, Pontifical Catholic University of Puerto Rico School of Law, 2003-2004",NA,2006,6,B.A.,0,0,0,0.061,NA,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, District of Puerto Rico",,NA,m,1,0,0,1,1,1,4,4,1,1,1
200,2001-2001-united-003,United States v. English,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4J4B-S230-TVTP-527F-00000-00&context=1516831&sourcegroupingtype=G,2001 U.S. Dist. LEXIS 26033,CV NO. 00-00016 ACK/BMK,00-00016,none,U.S. Federal,United States District Court for the District of Hawaii,3/28/01,united states,fed,william f. english%frances h. english,individual,alan c. key,plaintiff,none,uscg,hawaii,opa%rivers and harbors act%cercla%cwa,none,stop violation,ocean%pier,oil spill,3,no,0,none,0,none,0,yes,0,none,0,none,1,none,Landscapes%Anthropogenic,Marine%Construction,waste & pollution,Fossil Fuel Extraction%Production/Transmission/Use,alan c. key,alan,c.,key,c,1,1383096,1233,kay,alan,cooke, ,NA,NA,1932,Honolulu,HI,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the District of Hawaii,Judge,Ronald Reagan,Republican,,,Qualified,HID0301,98 Stat. 333,,7/3/86,Princeton University,A.B.,1957,"University of California, Berkeley, School of Law",LL.B.,1960,,,,,,NA,,,NA,"U.S. Marine Corps corporal, 1953-1955; Private practice, Honolulu, Hawaii, 1960-1986; Director, Legal Aid Society, Honolulu, Hawaii, 1968-1971",,1346,Republican,Ronald Reagan,USDC,"U. S. District Court, District of Hawaii",HI,7/3/86,NA,NA,0.587,0.69,0.98,0.69,0.98,-0.3515,-0.438,-0.349,-0.489,1,1,1,1932,M,White,Qualified,"University of California, Berkeley, Boalt Hall School of Law","U.S. Marine Corps corporal, 1953-1955<BR>Private practice, Honolulu, Hawaii, 1960-1986<BR>Director, Legal Aid Society, Honolulu, Hawaii, 1968-1971<BR>",2000,1986,1,A.B.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,2000,NA,NA,"U. S. District Court, District of Hawaii",,NA,c,1,0,0,1,1,1,75,75,1,1,1
153,1992-0796-indust-001,Industrial Highway Corp. v. Danielson,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-K8F0-008H-F548-00000-00&context=1516831&sourcegroupingtype=G,796 F. Supp. 121,Civil Action No. 91-4367,91-04367,"Decision of United States Corps of Engineers suspending the use of a nationwide permit and refusing to issue plaintiff a notice to proceed under that permit, but instead requiring plaintiff to pursue an individual permit to discharge fill into the waters of the United States, did not constitute final agency action reviewable under 5 U.S.C.S § 704.",U.S. Federal,United States District Court for the District of New Jersey,6/8/92,industrial highway corporation,industry,acoe,fed,alfred w. wolin,defendant,none,acoe,new jersey,cwa,none,stop discharge of fill,water%toxic waste%wetland,wetlands,7,yes,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Freshwater%Hazardous Substance,conservation,Flora/Fauna/Ecosystems,alfred w. wolin,alfred,w.,wolin,w,1,1390006,2630,wolin,alfred,m., ,NA,NA,1932,Orange,NJ,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Ronald Reagan,Republican,,,Well Qualified,NJD1502, ,,9/14/87,University of Michigan,B.A.,1954,Rutgers School of Law -- Newark,J.D.,1959,,,,,,NA,,,NA,"U.S. Army, 1954-1956; Private practice, Elizabeth, New Jersey, 1960-1980; Chief staff attorney, Union County [New Jersey] Legal Aid Society, 1965-1974; Attorney, Roselle [New Jersey] Board of Adjustment, 1965-1974; Special assistant prosecutor, Union County, New Jersey, 1970; Legislative aide, U.S. Rep. Matthew Rinaldo ofNew Jersey, 1970-1972; Field representative, 12th Congressional District, New Jersey, 1972-1979; Municipal prosecutor, Westfield, New Jersey, 1973-1974; Judge, Union County [New Jersey] District Court, 1980-1985; Judge, Superior Court of New Jersey, 1980-1987; Juvenile and Domestic Relations Court, 1980-1982; Civil Part, 1982-1983; presiding judge, Criminal Part, 1983-1987",,1324,Republican,Ronald Reagan,USDC,"U. S. District Court, District of New Jersey",NJ,9/14/87,2446744435,0.523,0.523,0.69,0.98,0.69,0.98,-0.357,-0.61,-0.142,-0.165,1,1,0,1932,M,White,Well Qualified,Rutgers School of Law -- Newark,"U.S. Army, 1954-1956<BR>Private practice, Elizabeth, New Jersey, 1960-1980<BR>Chief staff attorney, Union County [New Jersey] Legal Aid Society, 1965-1974<BR>Attorney, Roselle [New Jersey] Board of Adjustment, 1965-1974<BR>Special assistant prosecutor, Union County, New Jersey, 1970<BR>Legislative aide, U.S. Rep. Matthew Rinaldo, New Jersey, 1970-1972<BR>Field representative, 12th Congressional District, New Jersey, 1972-1979<BR>Municipal prosecutor, Westfield, New Jersey, 1973-1974<BR>Judge, Union County [New Jersey] District Court, 1980-1985<BR>Judge, Superior Court of New Jersey, 1980-1987; Juvenile and Domestic Relations Court, 1980-1982; Civil Part, 1982-1983; presiding judge, Criminal Part, 1983-1987",2000,1987,6,B.A.,0,0,1,-0.318,0.37215326,,NA,3000,,NA,3000,NA,NA,NA,2000,NA,NA,"U. S. District Court, District of New Jersey",,NA,m,1,0,1,0,1,1,12,12,1,1,1
56,1998-020f-southx-001,South Bronx Coalition for Clean Air v. Conroy,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3TM1-XB70-0038-Y14K-00000-00&context=1516831&sourcegroupingtype=G,20 F. Supp. 2d 565,98 Civ. 4404 (AGS),98-04404,"There was no major federal action involved in plan to sell bus depot, so no claim under NEPA could stand. The claim under Title VI of the Civil Rights Act was vague, and it was questionable whether a private right of action existed.",U.S. Federal,United States District Court for the Southern District of New York,9/8/98,south bronx coalition for clean air%business labor and community coalition inc%the cherry tree association inc%the urban environmental alliance inc%new york city environmental justice alliance,ngo,metropolitan transportation authority%state of new york%new york department of transportation%environmental protection agency%department of transportation%new york post company inc%usa waste inc,local%state%fed%industry,allen e. schwartz,defendant,none,dot,new york,nepa,none,prevent construction,waste%clean air%clean water,potential factory,12,no,21,discrimination%disproportionate%white%hispanic%racial,0,none,0,no,0,none,0,none,0,none,Landscapes%Atmosphere%Anthropogenic,Freshwater%Atmosphere%Hazardous Substance,conservation,Construction-General,allen e. schwartz,allen,e.,schwartz,e,1,1387481,2120,schwartz,allen,g., ,8,23,1934,Brooklyn,NY,3,22,2003, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD2403, ,,10/27/93,"City College of New York, School of Business (now Baruch College)",B.B.A.,1955,University of Pennsylvania Law School (now Carey Law School),LL.B.,1958,,,,,,NA,,,NA,"U.S. Army, 1958-1959; U.S. Army Reserve, 1958-1965; Assistant district attorney, New York County, New York, 1959-1962; Private practice, New York City, 1962-1977, 1982-1993; Corporation counsel, New York City, 1978-1981",,1031,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,10/27/93,3192128245,-0.493,-0.493,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1934,M,White,Well Qualified,University of Pennsylvania Law School,"U.S. Army, 1958-1959<BR>U.S. Army Reserve, 1958-1965<BR>Assistant district attorney, New York County, New York, 1959-1962<BR>Private practice, New York City, 1962-1977, 1982-1993<BR>Corporation counsel, New York City, 1978-1981",2003,1993,1,B.B.A.,0,0,1,-0.318,-0.690524841,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, Southern District of New York",,NA,g,1,0,1,0,1,1,8,8,1,1,1
210,2020-2020-cooper-002,Cooper Drum Cooperating Parties Group v. Am. Polymers Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:611F-C8D1-JSC5-M3W7-00000-00&context=1516831&sourcegroupingtype=G,2020 U.S. Dist. LEXIS 188271,CV 19-03007-AB (JPRx),19-03007,none,U.S. Federal,United States District Court for the Central District of California,8/10/20,cooper drum cooperating parties group,industry,"angeles chemical co, inc.%armstrong world industries inc%b. stephen cooperage, inc.%best tape inc.%carerncar llc%cooper drum cooperating parties group%american polymers corporation",industry,andré birotte jr.,plaintiff,none,none,california,cercla,none,recover damages for contamination,hazardous waste,contamination of cooper drum superfund site,0,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Waste Management,andré birotte,andré,,birotte,NA,1,1394611,3556,birotte,andre, ,Jr.,NA,NA,1966,Newark,NJ,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Central District of California,Judge,Barack Obama,Democratic,,,Well Qualified,CACD0205, ,,4/3/14,Tufts University,B.S.,1987,Pepperdine University School of Law (now Rick J. Caruso School of Law),J.D.,1991,,,,,,NA,,,NA,"Deputy public defender, Los Angeles County, California, 1991-1995; Assistant U.S. attorney, Central District of California, 1995-1999; Private practice, Los Angeles, California, 1999-2001; Los Angeles [California] Police Commission, 2001-2010; assistant inspector general, 2001-2003; inspector general, 2003-2010; U.S. attorney for the Central District of California, 2010-2014",,69,Democratic,Barack Obama,USDC,"U. S. District Court, Central District of California",CA,4/3/14,3757327839,-1.253,-1.253,-0.36,-1.038,-0.367,-1.14,-0.36,-1.038,-0.118,-0.282,0,0,1,1966,M,African American,Well Qualified,Pepperdine University School of Law,"Deputy public defender, Los Angeles County, California, 1991-1995<BR>Assistant U.S. attorney, Central District of California, 1995-1999<BR>Private practice, Los Angeles, California, 1999-2001<BR>Los Angeles [California] Police Commission, 2001-2010; assistant inspector general, 2001-2003; inspector general, 2003-2010<BR>U.S. attorney for the Central District of California, 2010-2014<BR>",NA,2014,4,B.S.,0,0,5,-0.374,-1.272437994,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, Central District of California",,NA,NA,1,1,NA,0,1,1,73,73,1,1,1
161,2017-2017-phoeni-001,"Phoenix Bevs., Inc. v. Exxon Mobil Corp.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5P81-5NF1-F04F-00JM-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 130074,12 Civ. 3771(AMD) (JO),12-03771,none,U.S. Federal,United States District Court for the Eastern District of New York,8/14/17,"phoenix beverages, inc.%rodb llc%windmill distributing company%up from the ashes, inc.",industry,"exxon mobil corporation%exxon mobil research and engineering company%quanta resources corporation%ace waste oil, inc.",industry,anne m. donnelly,mixed,none,none,new york,cercla%rcra,none,assign cleanup liability,toxic waste disposal,discovery procedures,0,no,0,none,1,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Legal,anne m. donnelly,anne,m.,donnelly,m,1,1394806,3595,donnelly,ann,marie, ,NA,NA,1959,Royal Oak,MI,NA,NA,NA, , ,Female,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYED1004, ,,1/7/15,University of Michigan,B.A.,1981,Ohio State University College of Law (now Michael E. Moritz College of Law),J.D.,1984,,,,,,NA,,,NA,"New York County [New York] District Attorney's Office, 1984-2009; assistant district attorney, 1984-1997; senior trial counsel, 1997-2005; bureau chief, Family Violence Child Abuse Bureau, 2005-2009; Judge, New York State Court of Claims, 2009-2015; Supreme Court of Bronx County [New York], criminal term, 2009-2013; Special Term for Election Matters, 2013; Supreme Court of Kings County [New York], criminal term, 2013-2014; Supreme Court of New York County [New York], criminal term, 2014-2015","Nominated to U.S. District Court for the Eastern District of New York, November 20, 2014; no Senate vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,1,1,0,0,1,1,7,7,1,1,1
