,...1,ID,case_name,url,cite,dock_raw,docket,summary,jurisdiction,court,case_date,plt,plt_typ,def,def_typ,judge,outcome,outcome_notes,agy,location,statute,species,AIM,TON,OOC,cites,appeals,ej_count,ej_keywords,science,experts,dr_phd,deference,climate_count,climate_keywords,housing_count,housing_keywords,cercla_flag,further_notes,ton_mc1,ton_mc2,ooc_mc1,ooc_mc2,judge_clean,First_Name,Middle,Last_Name,Middle_Initial,n.x,nid,jid,Last.Name,First.Name,Middle.Name,Suffix,Birth.Month,Birth.Day,Birth.Year,Birth.City,Birth.State,Death.Month,Death.Day,Death.Year,Death.City,Death.State,Gender,Race.or.Ethnicity,Court.Type..1.,Court.Name..1.,Appointment.Title..1.,Appointing.President..1.,Party.of.Appointing.President..1.,Reappointing.President..1.,Party.of.Reappointing.President..1.,ABA.Rating..1.,Seat.ID..1.,Statute.Authorizing.New.Seat..1.,Recess.Appointment.Date..1.,Nomination.Date..1.,School..1.,Degree..1.,Degree.Year..1.,School..2.,Degree..2.,Degree.Year..2.,School..3.,Degree..3.,Degree.Year..3.,School..4.,Degree..4.,Degree.Year..4.,School..5.,Degree..5.,Degree.Year..5.,Professional.Career,Other.Nominations.Recess.Appointments,X,party.affiliation.of.president,president.name,court.type,court.name,state,nomination.date.senate.executive.journal,dime.cid,dime.cfscore,imputed.dime.cfscore,jcs.score.dw,jcs.cfscore.cf,pres.dw,pres.dime.cfscore,senscore.dw,senscore.dime.cfscore,state.delegation.dw,state.delegation.dime.cfscore,use.pres,both.sen.opp,unified,birth.year,gender,race.or.ethnicity,aba.rating,law.school,employment.text.field,exit.year,enter.year,jd.rank,degree.type,clerked.for.con,clerked.for.lib,nconts,jud.chair.dw,overimputed.dime.cfscore,court.name1,enter.year1,exit.year1,court.name2,enter.year2,exit.year2,court.name3,enter.year3,exit.year3,exit.yearr,exit.year1r,exit.year2r,circuit,circuit2,circuit3,Middle.Initial,n.y,first_dist,middle_dist,last_dist,total_dist,matched,magistrate,notes
24,183,2012-2012-honolu-002,Honolulutraffic.Com v. Fed. Transit Admin.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:55NK-6FM1-F04D-405P-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 69473,Civ. No. 11-00307 AWT,11-00307,none,U.S. Federal,United States District Court for the District of Hawaii,5/17/12,honolulutraffic.com%cliff slater%benjamin cayetano%walter heen%hawaii's thousand friends%the small business hawaii entrepreneurial education foundation%randall w. roth%dr. michael uechi,industry%ngo%individual,department of transportation%federal transit administration%the city and county of honolulu,fed%local,A. Wallace Tashima,mixed,none,fta,hawaii,nepa,none,stop construction,historical sites,rail project,3,no,0,none,0,none,0,no,0,none,0,none,0,none,unknown,unknown,conservation,Transportation Infrastructure,A. Wallace Tashima,a.,wallace,tashima,w,1,1388571,2339,tashima,atsushi,wallace, ,NA,NA,1934,Santa Maria,CA,NA,NA,NA, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Central District of California,Judge,Jimmy Carter,Democratic,,,Well Qualified,CACD1102, ,,5/9/80,"University of California, Los Angeles",B.A.,1958,Harvard Law School,LL.B.,1961,,,,,,NA,,,NA,"U.S. Marine Corps sergeant, 1953-1956; Deputy attorney general, State of California, 1961-1967; Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977; Private practice, Los Angeles, California, 1977-1980",,858,Democratic,Jimmy Carter,USDC,"U. S. District Court, Central District of California",CA,4/6/95,NA,NA,-0.762,-0.392,-0.653,-0.521,-0.27,-0.392,-0.653,-0.185,-0.109,0,0,0,1934,M,Asian American,Well Qualified,Harvard Law School,"U.S. Marine Corps sergeant, 1953-1956<BR>Deputy attorney general, State of California, 1961-1967<BR>Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977<BR>Private practice, Los Angeles, California, 1977-1980",1996,1996,1,B.A.,0,0,0,0.383,NA,U. S. Court of Appeals for the Ninth Circuit,1996,2004,,NA,3000,NA,NA,NA,2004,2004,NA,"U. S. District Court, Central District of California",,NA,w,NA,NA,NA,NA,NA,1,0,
51,374,2012-2012-ctr.fx-005,Ctr. for Biological Diversity v. Provencio,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5RS5-RCM1-FD4T-B1N2-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 198754,No. CV 10-330 TUC AWT,10-00330,none,U.S. Federal,United States District Court for the District of Arizona,9/28/12,center for biological diversity,ngo,heather provencio%united states fish and wildlife service%nicole branton%usfs,fed,a. wallace tashima,mixed,none,fs%fws,arizona,nepa%esa,none,reconsider a decision%stop grazing,land%forest,stem erosion%nepa review,0,no,0,none,2,none,1,no,0,none,0,none,0,none,Biosphere%Landscapes,Flora%Landscapes,conservation,Flora/Fauna/Ecosystems%Regulations/Policy,a. wallace tashima,a.,wallace,tashima,w,1,1388571,2339,tashima,atsushi,wallace, ,NA,NA,1934,Santa Maria,CA,NA,NA,NA, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Central District of California,Judge,Jimmy Carter,Democratic,,,Well Qualified,CACD1102, ,,5/9/80,"University of California, Los Angeles",B.A.,1958,Harvard Law School,LL.B.,1961,,,,,,NA,,,NA,"U.S. Marine Corps sergeant, 1953-1956; Deputy attorney general, State of California, 1961-1967; Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977; Private practice, Los Angeles, California, 1977-1981",,858,Democratic,Jimmy Carter,USDC,"U. S. District Court, Central District of California",CA,4/6/95,NA,NA,-0.762,-0.392,-0.653,-0.521,-0.27,-0.392,-0.653,-0.185,-0.109,0,0,0,1934,M,Asian American,Well Qualified,Harvard Law School,"U.S. Marine Corps sergeant, 1953-1956<BR>Deputy attorney general, State of California, 1961-1967<BR>Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977<BR>Private practice, Los Angeles, California, 1977-1981",1996,1996,1,B.A.,0,0,0,0.383,NA,U. S. Court of Appeals for the Ninth Circuit,1996,2004,,NA,3000,NA,NA,NA,2004,2004,NA,"U. S. District Court, Central District of California",,NA,w,NA,NA,NA,NA,NA,1,0,
96,670,2012-2012-ctr.fx-007,Ctr. for Biological Diversity v. Provencio,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:55CR-VMM1-F04C-S01V-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 50457,No. CV 10-330 TUC AWT,10-00330,"Federal agencies failed to comply with ESA in approving a livestock grazing permit in national forest since agencies only analyzed grazing scheme's effects on survival of threatened species, did not consider effects of action on species' chances of recovery, and did not estimate population for purpose of measuring incidental take of species.",U.S. Federal,United States District Court for the District of Arizona,1/23/12,center for biological diversity,ngo,united states forest service,fed,a. wallace tashima,mixed,none,fs%fws,arizona,esa%nfma%nepa%flpma,chiricahua leopard frog%mexican spotted owl,challenge agency decision,grazing land%fauna,livestock grazing permit,5,yes,0,none,18,none,0,yes,0,none,0,none,0,none,Biosphere%Landscapes,Fauna%Landscapes,conservation,Land Use/Farming Practice,a. wallace tashima,a.,wallace,tashima,w,1,1388571,2339,tashima,atsushi,wallace, ,NA,NA,1934,Santa Maria,CA,NA,NA,NA, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Central District of California,Judge,Jimmy Carter,Democratic,,,Well Qualified,CACD1102, ,,5/9/80,"University of California, Los Angeles",B.A.,1958,Harvard Law School,LL.B.,1961,,,,,,NA,,,NA,"U.S. Marine Corps sergeant, 1953-1956; Deputy attorney general, State of California, 1961-1967; Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977; Private practice, Los Angeles, California, 1977-1982",,858,Democratic,Jimmy Carter,USDC,"U. S. District Court, Central District of California",CA,4/6/95,NA,NA,-0.762,-0.392,-0.653,-0.521,-0.27,-0.392,-0.653,-0.185,-0.109,0,0,0,1934,M,Asian American,Well Qualified,Harvard Law School,"U.S. Marine Corps sergeant, 1953-1956<BR>Deputy attorney general, State of California, 1961-1967<BR>Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977<BR>Private practice, Los Angeles, California, 1977-1982",1996,1996,1,B.A.,0,0,0,0.383,NA,U. S. Court of Appeals for the Ninth Circuit,1996,2004,,NA,3000,NA,NA,NA,2004,2004,NA,"U. S. District Court, Central District of California",,NA,w,NA,NA,NA,NA,NA,1,0,
184,1444,2014-2014-ctr.fx-001,Ctr. for Biological Diversity v. Provencio,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5RS5-RCM1-FD4T-B1NH-00000-00&context=1516831&sourcegroupingtype=G,2014 U.S. Dist. LEXIS 199312,No. CV 10-330 TUC AWT,10-00330,none,U.S. Federal,United States District Court for the District of Arizona,1/13/14,center for biological diversity,ngo,heather provencio%u.s. forest service%u.s. fish and wildlife service%nicole branton,fed,a. wallace tashima,plaintiff,none,fws%fs,arizona,esa%nepa%nfma,none,challenge department action,forest,livestock grazing,0,no,0,none,0,none,0,no,0,none,0,none,0,none,Biosphere,Flora,conservation,Land Use/Farming Practice,a. wallace tashima,a.,wallace,tashima,w,1,1388571,2339,tashima,atsushi,wallace, ,NA,NA,1934,Santa Maria,CA,NA,NA,NA, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Central District of California,Judge,Jimmy Carter,Democratic,,,Well Qualified,CACD1102, ,,5/9/80,"University of California, Los Angeles",B.A.,1958,Harvard Law School,LL.B.,1961,,,,,,NA,,,NA,"U.S. Marine Corps sergeant, 1953-1956; Deputy attorney general, State of California, 1961-1967; Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977; Private practice, Los Angeles, California, 1977-1983",,858,Democratic,Jimmy Carter,USDC,"U. S. District Court, Central District of California",CA,4/6/95,NA,NA,-0.762,-0.392,-0.653,-0.521,-0.27,-0.392,-0.653,-0.185,-0.109,0,0,0,1934,M,Asian American,Well Qualified,Harvard Law School,"U.S. Marine Corps sergeant, 1953-1956<BR>Deputy attorney general, State of California, 1961-1967<BR>Amstar Corporation, 1968-1977; attorney, Spreckels Sugar Division, 1968-1972; general attorney and vice president, 1972-1977<BR>Private practice, Los Angeles, California, 1977-1983",1996,1996,1,B.A.,0,0,0,0.383,NA,U. S. Court of Appeals for the Ninth Circuit,1996,2004,,NA,3000,NA,NA,NA,2004,2004,NA,"U. S. District Court, Central District of California",,NA,w,NA,NA,NA,NA,NA,1,0,
4,31,1996-1996-wis.vx-001,Wis. v. United States Epa,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:628V-PB41-JJD0-G3TR-00000-00&context=1516831&sourcegroupingtype=G,1996 U.S. Dist. LEXIS 23654,Case No. 96-C-90%Case No. 96-C-329%Case No. 96-C-450%Case No. 96-C-521%Case No. 96-C-605,96-00090%96-00329%96-00450%96-00521%96-00605,none,U.S. Federal,United States District Court for the Eastern District of Wisconsin,8/9/96,state of wisconsin,state,epa%carol browner%sokaogon chippewa community%the oneida nation%menominee indian tribe,fed%individual%tribe,Aaron E Goodstein,plaintiff,none,epa,wisconsin,cwa,none,retain water rights,clean water,tribal state status,0,yes,38,tribe%indian,0,"professor wright,none,none%professor miller,none,none",1,no,0,none,0,none,0,none,Landscapes,Freshwater,conservation%conservation,Flora/Fauna/Ecosystems%Flora/Fauna/Ecosystems,Aaron E Goodstein,aaron,e,goodstein,e,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
181,1425,1996-1996-am.stx-001,Am. States Ins. Co. v. Wausau Chem. Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:628M-MVT1-F873-B30S-00000-00&context=1516831&sourcegroupingtype=G,1996 U.S. Dist. LEXIS 23558,Case No. 93-C-1176,93-01176,none,U.S. Federal,United States District Court for the Eastern District of Wisconsin,2/27/96,american states insurance company,industry,wausau chemical corporation%the agriculture & nutrition company%hydrate chemical company,industry,aaron e. goodstein,mixed,none,none,wisconsin,cercla,none,allow intervenor,hazardous waste,proposed intervenor,0,no,0,none,0,"mark mejac, none, none",1,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Legal,aaron e. goodstein,aaron,e.,goodstein,e,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
334,2597,1995-1995-redarx-001,Red Arrow Prods. Co. v. Kurth,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:628V-CVD1-F7VM-S03B-00000-00&context=1516831&sourcegroupingtype=G,1995 U.S. Dist. LEXIS 23151,Case No. 94-C-178,94-00178,none,U.S. Federal,United States District Court for the Eastern District of Wisconsin,6/6/95,"red arrow products company, inc",industry,katherine kurth%ferrier lullin trustees limited,individual%industry,aaron e. goodstein,defendant,none,none,wisconsin,cercla,none,seek damages,hazardous waste,cercla clean up costs,0,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,aaron e. goodstein,aaron,e.,goodstein,e,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
57,413,1999-1999-truevx-001,"True v. Pleasant Care, Inc.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3YSP-VTN0-0038-Y1P0-00000-00&context=1516831&sourcegroupingtype=G,1999 U.S. Dist. LEXIS 21246,No. 2:97-CV-20-DE,97-00020,Defendants' motion for summary judgment denied in case alleging sewage contaminated well water and caused psychological and cardiac problems because evidence sufficient for jury to decide causation.,U.S. Federal,"United States District Court for the Eastern District of North Carolina, Northern Division",12/30/99,"william true, jr.%cathy true",individual,"pleasant care, inc.%doris w. eakes%eakes investment company%eakes properties%eakes investment corporation",industry,alexander b. denson,plaintiff,none,none,north carolina,cwa,none,seeking damages,sewage%water pollution,property damage%human health,1,no,0,none,2,"dr. jan sweet freeman, psychotherapy, none%dr. durham, clinical psychology, none%dr. lubica fedor, psychiatry, none%dr. maradiaga, physician, none%dr. r. lee jobe, cardiology, none%dr. frazier, none, none",66,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Freshwater%Hazardous Substance,waste & pollution,Production%Cost and Liability%Flora/Fauna/Ecosystems%Non-environmental,alexander b. denson,alexander,b.,denson,b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
213,1697,2017-2017-s.allx-001,S. Alliance For Clean Energy v. Fla. Power & Light Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5PJ1-V9B1-F04D-10XP-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 154361,Case No. 16-23017-CIV-GAYLES/OTAZO-REYES,16-23017,none,U.S. Federal,United States District Court for the Southern District of Florida,9/20/17,southern alliance for clean energy%tropical audobon society incorporated%friends of the everglades inc,ngo,florida power and light company,industry,alicia m. otazo-reyes,plaintiff,none,none,florida,cwa,none,stop pollution,bay,power plant,0,yes,0,none,0,"pg martin, none, none%p.e. powers, none, none",1,no,0,none,0,none,0,none,Landscapes,Freshwater,energy & mineral resources,Production/Transmission/Use,alicia m. otazo-reyes,alicia,m.,otazo-reyes,m,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
73,527,2014-2014-caroli-001,Carolina Cas. Ins. Co. v. Oahu Air Conditioning Serv.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5D5G-3YX1-F04C-T1P8-00000-00&context=1516831&sourcegroupingtype=G,2014 U.S. Dist. LEXIS 131109,No. 2:13-cv-01378-WBS-AC,13-01378,none,U.S. Federal,United States District Court for the Eastern District of California,9/16/14,carolina casualty insurance company,industry,"oahu air conditioning service, inc.%pacific commercial services, llc",industry,allison claire,mixed,none,none,california,cercla,none,recover costs,hazardous substances%water pollution,cleanup costs,1,yes,0,none,0,none,0,no,0,none,0,none,1,none,Landscapes%Anthropogenic,Freshwater%Hazardous Substance,waste & pollution,Cost and Liability,allison claire,allison,,claire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
575,4582,2017-2017-vosv.x-001,Vos v. First Am. Title Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5ND2-5JC1-F04C-T0FT-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 62083,No. 2: 17-cv-00060 JAM AC,17-00060,none,U.S. Federal,United States District Court for the Eastern District of California,4/21/17,selwyn d.j. vos,individual,first american title company,industry,allison claire,defendant,none,none,california,antiquities act,none,relief due to undisclosed conditions of land during purchase,open-space%toxic chemical,25 acres of protected native american land,0,no,7,native american%indian%tribe,0,none,0,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Landscapes%Hazardous Substance,conservation,Flora/Fauna/Ecosystems,allison claire,allison,,claire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
