,ID,case_name,url,cite,dock_raw,docket,summary,jurisdiction,court,case_date,plt,plt_typ,def,def_typ,judge,outcome,outcome_notes,agy,location,statute,species,AIM,TON,OOC,cites,appeals,ej_count,ej_keywords,science,experts,dr_phd,deference,climate_count,climate_keywords,housing_count,housing_keywords,cercla_flag,further_notes,ton_mc1,ton_mc2,ooc_mc1,ooc_mc2,judge_clean,First_Name,Middle,Last_Name,Middle_Initial,n.x,nid,jid,Last.Name,First.Name,Middle.Name,Suffix,Birth.Month,Birth.Day,Birth.Year,Birth.City,Birth.State,Death.Month,Death.Day,Death.Year,Death.City,Death.State,Gender,Race.or.Ethnicity,Court.Type..1.,Court.Name..1.,Appointment.Title..1.,Appointing.President..1.,Party.of.Appointing.President..1.,Reappointing.President..1.,Party.of.Reappointing.President..1.,ABA.Rating..1.,Seat.ID..1.,Statute.Authorizing.New.Seat..1.,Recess.Appointment.Date..1.,Nomination.Date..1.,School..1.,Degree..1.,Degree.Year..1.,School..2.,Degree..2.,Degree.Year..2.,School..3.,Degree..3.,Degree.Year..3.,School..4.,Degree..4.,Degree.Year..4.,School..5.,Degree..5.,Degree.Year..5.,Professional.Career,Other.Nominations.Recess.Appointments,X,party.affiliation.of.president,president.name,court.type,court.name,state,nomination.date.senate.executive.journal,dime.cid,dime.cfscore,imputed.dime.cfscore,jcs.score.dw,jcs.cfscore.cf,pres.dw,pres.dime.cfscore,senscore.dw,senscore.dime.cfscore,state.delegation.dw,state.delegation.dime.cfscore,use.pres,both.sen.opp,unified,birth.year,gender,race.or.ethnicity,aba.rating,law.school,employment.text.field,exit.year,enter.year,jd.rank,degree.type,clerked.for.con,clerked.for.lib,nconts,jud.chair.dw,overimputed.dime.cfscore,court.name1,enter.year1,exit.year1,court.name2,enter.year2,exit.year2,court.name3,enter.year3,exit.year3,exit.yearr,exit.year1r,exit.year2r,circuit,circuit2,circuit3,Middle.Initial,n.y,first_dist,middle_dist,last_dist,total_dist,matched,district,District_FJCBonica,court_mismatch,n,keep
25,1986-0627-nation-001,National Audubon Soc. v. Hester,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-BXT0-0039-R2BS-00000-00&context=1516831&sourcegroupingtype=G,627 F. Supp. 1419,No. 86-0053 Civil Action,86-00053,Environmentalists were entitled to preliminary injunction in challenging capture of California condors after demonstrating substantial likelihood of success on their claim that agency acted arbitrarily and capriciously.,U.S. Federal,United States District Court for the District of Columbia,2/3/86,national audubon society,ngo,fish and wildlife service,fed,barrington d. parker,plaintiff,none,fws,california,esa%nepa,wild california condor,protect species,fauna,endangered species,4,yes,0,none,3,none,1,no,0,none,0,none,0,none,Biosphere,Fauna,conservation,Flora/Fauna/Ecosystems,barrington d. parker,barrington,d.,parker,d,1,1386076,1834,parker,barrington,daniels,Jr.,NA,NA,1944,Washington,DC,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD1004, ,,4/26/94,Yale College,B.A.,1965,Yale Law School,LL.B.,1969,,,,,,NA,,,NA,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970; Private practice, New York City, 1970-1994","Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",635,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,9/4/01,4609014925,-0.599,-0.599,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1944,M,African American,Well Qualified,Yale Law School,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970<BR>Private practice, New York City, 1970-1994<BR><BR>Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",2001,2001,1,B.A.,0,1,11,-0.374,-0.767878682,U. S. Court of Appeals for the Second Circuit,2001,2009,,NA,3000,NA,NA,NA,2009,2009,NA,"U. S. District Court, Southern District of New York",,NA,d,1,0,0,0,0,1,90,8,0,2,0
26,1986-0627-nation-001,National Audubon Soc. v. Hester,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-BXT0-0039-R2BS-00000-00&context=1516831&sourcegroupingtype=G,627 F. Supp. 1419,No. 86-0053 Civil Action,86-00053,Environmentalists were entitled to preliminary injunction in challenging capture of California condors after demonstrating substantial likelihood of success on their claim that agency acted arbitrarily and capriciously.,U.S. Federal,United States District Court for the District of Columbia,2/3/86,national audubon society,ngo,fish and wildlife service,fed,barrington d. parker,plaintiff,none,fws,california,esa%nepa,wild california condor,protect species,fauna,endangered species,4,yes,0,none,3,none,1,no,0,none,0,none,0,none,Biosphere,Fauna,conservation,Flora/Fauna/Ecosystems,barrington d. parker,barrington,d.,parker,d,1,1386071,1833,parker,barrington,daniels,Sr.,11,17,1915,Rosslyn,VA,6,2,1993,Washington,DC,Male,African American,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Richard M. Nixon,Republican,,,Qualified,DCD0607, ,,9/15/69,"Lincoln University, Pennsylvania",A.B.,1936,University of Pennsylvania,M.A.,1938,University of Chicago Law School,J.D.,1947,,,NA,,,NA,"Private practice, Washington, D.C., 1947-1968",,2077,Republican,Richard M. Nixon,USDC,U. S. District Court for the District of Columbia,NY,9/15/69,4609014925,-0.599,-0.599,-0.135,0.028,0.545,NA,-0.135,0.028,-0.215,-0.109,0,0,0,1915,M,African American,Qualified,University of Chicago Law School,"Private practice, Washington, D.C., 1947-1968",1985,1969,1,A.B.,0,0,11,0.03,-0.573706806,,NA,3000,,NA,3000,NA,NA,NA,1985,NA,NA,U. S. District Court for the District of Columbia,,NA,d,1,0,0,0,0,1,90,90,1,2,1
11,1974-0421-sierra-001,Sierra Club v. Morton,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4V-RT60-0054-653S-00000-00&context=1516831&sourcegroupingtype=G,421 F. Supp. 638,Civ. A. No. 1182-73,73-01182,"Environmental organizations were not entitled to injunctive relief for alleged NEPA violations because a governmental study on federal coal leasing and individual projects did not constitute a program or ""federal action"" within the meaning of NEPA.",U.S. Federal,United States District Court for the District of Columbia,2/14/74,sierra club%national wildlife federation%northern plains resource council%montana league of conservation voters%league of women voters of south dakota,ngo,department of interior%department of agriculture%department of the army%peabody coal co.,fed%industry,barrington d. parker jr.,defendant,none,usa%bor,montana%wyoming%south dakota%north dakota,nepa%mla,none,stop coal mining,open space,coal reserve development permits,3,yes,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes,Landscapes,energy & mineral resources,Fossil Fuel Extraction,barrington d. parker,barrington,d.,parker,d,1,1386076,1834,parker,barrington,daniels,Jr.,NA,NA,1944,Washington,DC,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD1004, ,,4/26/94,Yale College,B.A.,1965,Yale Law School,LL.B.,1969,,,,,,NA,,,NA,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970; Private practice, New York City, 1970-1994","Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",635,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,9/4/01,4609014925,-0.599,-0.599,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1944,M,African American,Well Qualified,Yale Law School,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970<BR>Private practice, New York City, 1970-1994<BR><BR>Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",2001,2001,1,B.A.,0,1,11,-0.374,-0.767878682,U. S. Court of Appeals for the Second Circuit,2001,2009,,NA,3000,NA,NA,NA,2009,2009,NA,"U. S. District Court, Southern District of New York",,NA,d,1,0,0,0,0,1,90,8,0,2,0
12,1974-0421-sierra-001,Sierra Club v. Morton,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4V-RT60-0054-653S-00000-00&context=1516831&sourcegroupingtype=G,421 F. Supp. 638,Civ. A. No. 1182-73,73-01182,"Environmental organizations were not entitled to injunctive relief for alleged NEPA violations because a governmental study on federal coal leasing and individual projects did not constitute a program or ""federal action"" within the meaning of NEPA.",U.S. Federal,United States District Court for the District of Columbia,2/14/74,sierra club%national wildlife federation%northern plains resource council%montana league of conservation voters%league of women voters of south dakota,ngo,department of interior%department of agriculture%department of the army%peabody coal co.,fed%industry,barrington d. parker jr.,defendant,none,usa%bor,montana%wyoming%south dakota%north dakota,nepa%mla,none,stop coal mining,open space,coal reserve development permits,3,yes,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes,Landscapes,energy & mineral resources,Fossil Fuel Extraction,barrington d. parker,barrington,d.,parker,d,1,1386071,1833,parker,barrington,daniels,Sr.,11,17,1915,Rosslyn,VA,6,2,1993,Washington,DC,Male,African American,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Richard M. Nixon,Republican,,,Qualified,DCD0607, ,,9/15/69,"Lincoln University, Pennsylvania",A.B.,1936,University of Pennsylvania,M.A.,1938,University of Chicago Law School,J.D.,1947,,,NA,,,NA,"Private practice, Washington, D.C., 1947-1968",,2077,Republican,Richard M. Nixon,USDC,U. S. District Court for the District of Columbia,NY,9/15/69,4609014925,-0.599,-0.599,-0.135,0.028,0.545,NA,-0.135,0.028,-0.215,-0.109,0,0,0,1915,M,African American,Qualified,University of Chicago Law School,"Private practice, Washington, D.C., 1947-1968",1985,1969,1,A.B.,0,0,11,0.03,-0.573706806,,NA,3000,,NA,3000,NA,NA,NA,1985,NA,NA,U. S. District Court for the District of Columbia,,NA,d,1,0,0,0,0,1,90,90,1,2,1
67,1996-0935-townox-001,TOWN OF NEW WINDSOR v. TESA TUCK INC.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-G6W0-006F-P221-00000-00&context=1516831&sourcegroupingtype=G,935 F. Supp. 317,92 CV 8754 (BDP),92-08754,"Government incurred response costs within meaning of CERCLA when it reimbursed clean-up costs of landfill owner/operator, and CERCLA authorized recovery of oversight costs as they fell within statutory definitions of ""removal"" and ""remedial.""",U.S. Federal,United States District Court for the Southern District of New York,7/22/96,the town of new windsor%the state of new york,local%state,"tesa tuck inc.%lightron corporation, inc.%eugene litman%harry basch%mearl corporation%kollmorgen instruments corporation",industry%individual,barrington d. parker jr.,plaintiff,none,none,new york,cercla,none,recover costs,toxic waste disposal,qualifying costs,10,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386076,1834,parker,barrington,daniels,Jr.,NA,NA,1944,Washington,DC,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD1004, ,,4/26/94,Yale College,B.A.,1965,Yale Law School,LL.B.,1969,,,,,,NA,,,NA,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970; Private practice, New York City, 1970-1994","Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",635,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,9/4/01,4609014925,-0.599,-0.599,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1944,M,African American,Well Qualified,Yale Law School,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970<BR>Private practice, New York City, 1970-1994<BR><BR>Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",2001,2001,1,B.A.,0,1,11,-0.374,-0.767878682,U. S. Court of Appeals for the Second Circuit,2001,2009,,NA,3000,NA,NA,NA,2009,2009,NA,"U. S. District Court, Southern District of New York",,NA,d,1,0,0,0,0,1,8,8,1,2,1
68,1996-0935-townox-001,TOWN OF NEW WINDSOR v. TESA TUCK INC.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-G6W0-006F-P221-00000-00&context=1516831&sourcegroupingtype=G,935 F. Supp. 317,92 CV 8754 (BDP),92-08754,"Government incurred response costs within meaning of CERCLA when it reimbursed clean-up costs of landfill owner/operator, and CERCLA authorized recovery of oversight costs as they fell within statutory definitions of ""removal"" and ""remedial.""",U.S. Federal,United States District Court for the Southern District of New York,7/22/96,the town of new windsor%the state of new york,local%state,"tesa tuck inc.%lightron corporation, inc.%eugene litman%harry basch%mearl corporation%kollmorgen instruments corporation",industry%individual,barrington d. parker jr.,plaintiff,none,none,new york,cercla,none,recover costs,toxic waste disposal,qualifying costs,10,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386071,1833,parker,barrington,daniels,Sr.,11,17,1915,Rosslyn,VA,6,2,1993,Washington,DC,Male,African American,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Richard M. Nixon,Republican,,,Qualified,DCD0607, ,,9/15/69,"Lincoln University, Pennsylvania",A.B.,1936,University of Pennsylvania,M.A.,1938,University of Chicago Law School,J.D.,1947,,,NA,,,NA,"Private practice, Washington, D.C., 1947-1968",,2077,Republican,Richard M. Nixon,USDC,U. S. District Court for the District of Columbia,NY,9/15/69,4609014925,-0.599,-0.599,-0.135,0.028,0.545,NA,-0.135,0.028,-0.215,-0.109,0,0,0,1915,M,African American,Qualified,University of Chicago Law School,"Private practice, Washington, D.C., 1947-1968",1985,1969,1,A.B.,0,0,11,0.03,-0.573706806,,NA,3000,,NA,3000,NA,NA,NA,1985,NA,NA,U. S. District Court for the District of Columbia,,NA,d,1,0,0,0,0,1,8,90,0,2,0
69,1996-0935-townox-004,"Town of New Windsor v. Tesa Tuck, Inc.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-G6R0-006F-P21X-00000-00&context=1516831&sourcegroupingtype=G,935 F. Supp. 315,92 CV 8754 (BDP),92-08754,"Motion for summary judgment in a CERCLA action was granted where the corporations failed to establish a key element of the cause of action, namely, that the United States was a responsible party for the contamination of the land in question.",U.S. Federal,United States District Court for the Southern District of New York,7/22/96,the town of new windsor%the state of new york%united states of america%cornell group services corp.%new york state department of transportation%city of newburgh,local%state%fed%industry,"tesa tuck inc.%lightron corporation, inc.%eugene litman%harry basch%mearl corporation%kollmorgen instruments corporation",industry%individual,barrington d. parker jr.,plaintiff,"the motion of the united states, who are third party defendants, was granted",none,new york,cercla,none,determine liability,toxic waste disposal,contribution claims,1,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386076,1834,parker,barrington,daniels,Jr.,NA,NA,1944,Washington,DC,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD1004, ,,4/26/94,Yale College,B.A.,1965,Yale Law School,LL.B.,1969,,,,,,NA,,,NA,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970; Private practice, New York City, 1970-1994","Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",635,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,9/4/01,4609014925,-0.599,-0.599,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1944,M,African American,Well Qualified,Yale Law School,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970<BR>Private practice, New York City, 1970-1994<BR><BR>Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",2001,2001,1,B.A.,0,1,11,-0.374,-0.767878682,U. S. Court of Appeals for the Second Circuit,2001,2009,,NA,3000,NA,NA,NA,2009,2009,NA,"U. S. District Court, Southern District of New York",,NA,d,1,0,0,0,0,1,8,8,1,2,1
70,1996-0935-townox-004,"Town of New Windsor v. Tesa Tuck, Inc.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-G6R0-006F-P21X-00000-00&context=1516831&sourcegroupingtype=G,935 F. Supp. 315,92 CV 8754 (BDP),92-08754,"Motion for summary judgment in a CERCLA action was granted where the corporations failed to establish a key element of the cause of action, namely, that the United States was a responsible party for the contamination of the land in question.",U.S. Federal,United States District Court for the Southern District of New York,7/22/96,the town of new windsor%the state of new york%united states of america%cornell group services corp.%new york state department of transportation%city of newburgh,local%state%fed%industry,"tesa tuck inc.%lightron corporation, inc.%eugene litman%harry basch%mearl corporation%kollmorgen instruments corporation",industry%individual,barrington d. parker jr.,plaintiff,"the motion of the united states, who are third party defendants, was granted",none,new york,cercla,none,determine liability,toxic waste disposal,contribution claims,1,no,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386071,1833,parker,barrington,daniels,Sr.,11,17,1915,Rosslyn,VA,6,2,1993,Washington,DC,Male,African American,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Richard M. Nixon,Republican,,,Qualified,DCD0607, ,,9/15/69,"Lincoln University, Pennsylvania",A.B.,1936,University of Pennsylvania,M.A.,1938,University of Chicago Law School,J.D.,1947,,,NA,,,NA,"Private practice, Washington, D.C., 1947-1968",,2077,Republican,Richard M. Nixon,USDC,U. S. District Court for the District of Columbia,NY,9/15/69,4609014925,-0.599,-0.599,-0.135,0.028,0.545,NA,-0.135,0.028,-0.215,-0.109,0,0,0,1915,M,African American,Qualified,University of Chicago Law School,"Private practice, Washington, D.C., 1947-1968",1985,1969,1,A.B.,0,0,11,0.03,-0.573706806,,NA,3000,,NA,3000,NA,NA,NA,1985,NA,NA,U. S. District Court for the District of Columbia,,NA,d,1,0,0,0,0,1,8,90,0,2,0
81,2000-095f-bologn-001,Bologna v. Kerr-McGee Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:408J-2TB0-0038-Y216-00000-00&context=1516831&sourcegroupingtype=G,95 F. Supp. 2d 197,99 Civ. 3861 (BDP),99-03861,Oil storage facility owners' claim seeking compensation for past cleanup efforts for contamination in and around their facility was denied because recovery for those costs was barred by Resource Conservation and Recovery Act.,U.S. Federal,United States District Court for the Southern District of New York,5/10/00,"domonick d. bologna%westmore fuel company, inc",individual%industry,"kerr-mcgee corporation%royal petroleum, inc%park-ohio holdings group%russell burdsall & ward inc%tarricone, inc",industry,"barrington d. parker, jr.",mixed,"rcra denied, but ny navigation and public nuisance claims upheld",none,new york,rcra,none,compensation for cleanup,toxic waste disposal,cercla liability,12,no,0,none,0,none,0,no,0,none,0,none,0,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386076,1834,parker,barrington,daniels,Jr.,NA,NA,1944,Washington,DC,NA,NA,NA, , ,Male,African American,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD1004, ,,4/26/94,Yale College,B.A.,1965,Yale Law School,LL.B.,1969,,,,,,NA,,,NA,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970; Private practice, New York City, 1970-1994","Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",635,Democratic,William J. Clinton,USDC,"U. S. District Court, Southern District of New York",NY,9/4/01,4609014925,-0.599,-0.599,-0.31,-0.494,-0.452,-0.79,-0.31,-0.494,-0.187,-0.284,0,0,1,1944,M,African American,Well Qualified,Yale Law School,"Law clerk, Hon. Aubrey E. Robinson, Jr., U.S. District Court, District of Columbia, 1969-1970<BR>Private practice, New York City, 1970-1994<BR><BR>Nominated to U.S. Court of Appeals for the Second Circuit, May 9, 2001; no Senate vote",2001,2001,1,B.A.,0,1,11,-0.374,-0.767878682,U. S. Court of Appeals for the Second Circuit,2001,2009,,NA,3000,NA,NA,NA,2009,2009,NA,"U. S. District Court, Southern District of New York",,NA,d,1,0,0,0,0,1,8,8,1,2,1
82,2000-095f-bologn-001,Bologna v. Kerr-McGee Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:408J-2TB0-0038-Y216-00000-00&context=1516831&sourcegroupingtype=G,95 F. Supp. 2d 197,99 Civ. 3861 (BDP),99-03861,Oil storage facility owners' claim seeking compensation for past cleanup efforts for contamination in and around their facility was denied because recovery for those costs was barred by Resource Conservation and Recovery Act.,U.S. Federal,United States District Court for the Southern District of New York,5/10/00,"domonick d. bologna%westmore fuel company, inc",individual%industry,"kerr-mcgee corporation%royal petroleum, inc%park-ohio holdings group%russell burdsall & ward inc%tarricone, inc",industry,"barrington d. parker, jr.",mixed,"rcra denied, but ny navigation and public nuisance claims upheld",none,new york,rcra,none,compensation for cleanup,toxic waste disposal,cercla liability,12,no,0,none,0,none,0,no,0,none,0,none,0,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,barrington d. parker,barrington,d.,parker,d,1,1386071,1833,parker,barrington,daniels,Sr.,11,17,1915,Rosslyn,VA,6,2,1993,Washington,DC,Male,African American,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Richard M. Nixon,Republican,,,Qualified,DCD0607, ,,9/15/69,"Lincoln University, Pennsylvania",A.B.,1936,University of Pennsylvania,M.A.,1938,University of Chicago Law School,J.D.,1947,,,NA,,,NA,"Private practice, Washington, D.C., 1947-1968",,2077,Republican,Richard M. Nixon,USDC,U. S. District Court for the District of Columbia,NY,9/15/69,4609014925,-0.599,-0.599,-0.135,0.028,0.545,NA,-0.135,0.028,-0.215,-0.109,0,0,0,1915,M,African American,Qualified,University of Chicago Law School,"Private practice, Washington, D.C., 1947-1968",1985,1969,1,A.B.,0,0,11,0.03,-0.573706806,,NA,3000,,NA,3000,NA,NA,NA,1985,NA,NA,U. S. District Court for the District of Columbia,,NA,d,1,0,0,0,0,1,8,90,0,2,0
