,X.1,ID,case_name,url,cite,dock_raw,docket,summary,jurisdiction,court,case_date,plt,plt_typ,def,def_typ,judge,outcome,outcome_notes,agy,location,statute,species,AIM,TON,OOC,cites,appeals,ej_count,ej_keywords,science,experts,dr_phd,deference,climate_count,climate_keywords,housing_count,housing_keywords,cercla_flag,further_notes,ton_mc1,ton_mc2,ooc_mc1,ooc_mc2,judge_clean,First_Name,Middle,Last_Name,Middle_Initial,n.x,nid,jid,Last.Name,First.Name,Middle.Name,Suffix,Birth.Month,Birth.Day,Birth.Year,Birth.City,Birth.State,Death.Month,Death.Day,Death.Year,Death.City,Death.State,Gender,Race.or.Ethnicity,Court.Type..1.,Court.Name..1.,Appointment.Title..1.,Appointing.President..1.,Party.of.Appointing.President..1.,Reappointing.President..1.,Party.of.Reappointing.President..1.,ABA.Rating..1.,Seat.ID..1.,Statute.Authorizing.New.Seat..1.,Recess.Appointment.Date..1.,Nomination.Date..1.,School..1.,Degree..1.,Degree.Year..1.,School..2.,Degree..2.,Degree.Year..2.,School..3.,Degree..3.,Degree.Year..3.,School..4.,Degree..4.,Degree.Year..4.,School..5.,Degree..5.,Degree.Year..5.,Professional.Career,Other.Nominations.Recess.Appointments,X,party.affiliation.of.president,president.name,court.type,court.name,state,nomination.date.senate.executive.journal,dime.cid,dime.cfscore,imputed.dime.cfscore,jcs.score.dw,jcs.cfscore.cf,pres.dw,pres.dime.cfscore,senscore.dw,senscore.dime.cfscore,state.delegation.dw,state.delegation.dime.cfscore,use.pres,both.sen.opp,unified,birth.year,gender,race.or.ethnicity,aba.rating,law.school,employment.text.field,exit.year,enter.year,jd.rank,degree.type,clerked.for.con,clerked.for.lib,nconts,jud.chair.dw,overimputed.dime.cfscore,court.name1,enter.year1,exit.year1,court.name2,enter.year2,exit.year2,court.name3,enter.year3,exit.year3,exit.yearr,exit.year1r,exit.year2r,circuit,circuit2,circuit3,Middle.Initial,n.y,first_dist,middle_dist,last_dist,total_dist,matched,district,District_FJCBonica,court_mismatch,n,keep,magistrate,notes
1,35,2012-2012-s.c.ex-001,"S.C. Elec. & Gas Co. v. UGI Utils., Inc.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:55J5-K771-F04F-80SY-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 61487,Civil Action No. 2:06-cv-02627-CWH,06-02627,"Defendant was not liable under 42 U.S.C.S. § 9607 because, although defendant was the corporate parent of a subsidiary, defendant did not manage or conduct hazardous waste disposal operations at the site; operator liability could not be demonstrated because there was no evidence that defendant operated the site other than through its subsidiary.",U.S. Federal,"United States District Court for the District of South Carolina, Charleston Division",4/11/12,south carolina electric & gas company,industry,"ugi utilities, inc.",industry,c. weston houck,defendant,none,none,south carolina,sdwa%cercla,none,determine liability%recover costs,hazardous waste disposal,costs accrued from hazardous waste,4,no,0,none,0,"dr. neil s. shifrin,environmental engineering,gradient corporation%jonathan macey,corporate law,yale school of law%jay vandeven,environmental engineer,environ corporation",102,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,c. weston houck,c.,weston,houck,w,1,1382416,1097,houck,c[harles],weston, ,4,16,1933,Florence,SC,7,19,2017,Charleston,SC,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Jimmy Carter,Democratic,,,Qualified,SCD0901,92 Stat. 1629,,6/5/79,University of South Carolina School of Law,LL.B.,1956,,,,,,,,,NA,,,NA,"U.S. Army, 1957-1958; Private practice, Florence, South Carolina, 1956, 1958-1979; State representative, South Carolina, 1963-1966; Chairman, Florence City-County [South Carolina] Building Commission, 1968-1976",,1733,Democratic,Jimmy Carter,USDC,"U. S. District Court, District of South Carolina",SC,6/5/79,NA,NA,-0.463,-0.285,-0.221,-0.521,-0.27,-0.285,-0.221,-0.076,0.121,0,0,0,1933,M,White,Qualified,University of South Carolina School of Law,"U.S. Army, 1957-1958<BR>Private practice, Florence, South Carolina, 1956, 1958-1979<BR>State representative, South Carolina, 1963-1966<BR>Chairman, Florence City-County [South Carolina] Building Commission, 1968-1976",2003,1979,6,LL.B.,0,0,0,-0.451,NA,,NA,3000,,NA,3000,NA,NA,NA,2003,NA,NA,"U. S. District Court, District of South Carolina",,NA,w,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
2,16,1995-1995-helixx-001,Helix v. Southern Pac. Transp. Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-7DV0-001T-53JD-00000-00&context=1516831&sourcegroupingtype=G,1995 U.S. Dist. LEXIS 19806,No. C-92-2312 DLJ,92-02312,The land owners' could include agency and restitution allegations in their fifth amended complaint against the contaminators because the court allowed claims under the RCRA and those allegations were necessary in order to state a claim.,U.S. Federal,United States District Court for the Northern District of California,11/20/95,daniel c. helix%mary lou helix%samuel p. young%elizabeth young%sheila brutoco%john v. hook%geneva b. hook%steven pucell,individual,southern pacific transportation company%central costa sanitary district%mike hall,industry%individual%local,d. lowell jensen,mixed,none,none,california,rcra%cercla,none,seeking damages,hazardous substances%polluted land,waste disposal%human health,2,no,0,none,0,none,0,no,0,none,0,none,1,none,Landscapes%Anthropogenic,Landscapes%Hazardous Substance,waste & pollution,Production%Waste Management,d. lowell jensen,d.,lowell,jensen,l,1,1382791,1172,jensen,delwen,lowell, ,NA,NA,1928,Brigham City,UT,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Ronald Reagan,Republican,,,Well Qualified,CAND0804, ,,6/2/86,"University of California, Berkeley",A.B.,1949,"University of California, Berkeley, School of Law",LL.B.,1952,,,,,,NA,,,NA,"U.S. Army corporal, 1952-1954; Private practice, Oakland, California, 1954-1955; Alameda County [California] District Attorney's Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981; U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986; Member, U.S. Judicial Panel on Multidistrict Litigation, 2000-2008",,1345,Republican,Ronald Reagan,USDC,"U. S. District Court, Northern District of California",CA,6/2/86,NA,NA,0.759,0.349,0.721,0.69,0.98,0.349,0.721,-0.124,-0.097,0,0,1,1928,M,White,Well Qualified,"University of California, Berkeley, Boalt Hall School of Law","U.S. Army corporal, 1952-1954<BR>Private practice, Oakland, California, 1954-1955<BR>Alameda County [California] District Attorney`s Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981<BR>U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986",1997,1986,1,A.B.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,1997,NA,NA,"U. S. District Court, Northern District of California",,NA,l,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
3,74,1993-0816-vietna-001,Vietnamese Fishermen Ass'n v. California Dep't of Fish & Game,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-V5M0-001T-6161-00000-00&context=1516831&sourcegroupingtype=G,816 F. Supp. 1468,No. C-91-0778-DLJ,91-00778,"Because the California Marine Resources Protection Act of 1990 was preempted by the Magnuson Fishery Conservation and Management Act of 1976, a state agency was enjoined from prohibiting use of gill nets by a fishing association and its members.",U.S. Federal,United States District Court for the Northern District of California,2/25/93,vietnamese fishermen ass'n of america%lam tran%nguyen xa van%nguyen meo van%nguyen hung huy,trade_assn%individual,california department of fish and game%pete bontadelli%Committee to ban gill nets%dolphin connection%earth island institute%doris j. allen,state%ngo%individual,d. lowell jensen,plaintiff,none,none,california,magnuson-stevens act,none,stop ban,ocean,gill nets for fishing,7,no,1,asian american,1,none,0,yes,0,none,0,none,0,Some semblance of environmental justice as the trade association is fighting for the representation and livelihood of Vietnamese fishermen,Landscapes,Marine,conservation,Fishing,d. lowell jensen,d.,lowell,jensen,l,1,1382791,1172,jensen,delwen,lowell, ,NA,NA,1928,Brigham City,UT,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Ronald Reagan,Republican,,,Well Qualified,CAND0804, ,,6/2/86,"University of California, Berkeley",A.B.,1949,"University of California, Berkeley, School of Law",LL.B.,1952,,,,,,NA,,,NA,"U.S. Army corporal, 1952-1954; Private practice, Oakland, California, 1954-1955; Alameda County [California] District Attorney's Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981; U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986; Member, U.S. Judicial Panel on Multidistrict Litigation, 2000-2008",,1345,Republican,Ronald Reagan,USDC,"U. S. District Court, Northern District of California",CA,6/2/86,NA,NA,0.759,0.349,0.721,0.69,0.98,0.349,0.721,-0.124,-0.097,0,0,1,1928,M,White,Well Qualified,"University of California, Berkeley, Boalt Hall School of Law","U.S. Army corporal, 1952-1954<BR>Private practice, Oakland, California, 1954-1955<BR>Alameda County [California] District Attorney`s Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981<BR>U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986",1997,1986,1,A.B.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,1997,NA,NA,"U. S. District Court, Northern District of California",,NA,l,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
4,152,1994-0922-romeox-001,Romeo v. General Chem. Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-BRK0-003B-V2TN-00000-00&context=1516831&sourcegroupingtype=G,922 F. Supp. 287,C-93-2841-DLJ%C-93-2868-DLJ,93-02841%93-02868,"Under CERCLA, evacuation costs could not be recovered where no evacuation consistent with the national contingency plan was ordered, and medical or environmental monitoring costs could not be recovered where the contamination dissipated within hours.",U.S. Federal,United States District Court for the Northern District of California,9/14/94,raymond romeo%william bernstein%william kershaw,individual,general chemical corporation,industry,d. lowell jensen,defendant,none,none,california,cercla,none,recover costs,clean air,chemical cloud from chemical company,0,no,0,none,0,none,0,no,0,none,0,none,1,none,Atmosphere,Atmosphere,waste & pollution,Production,d. lowell jensen,d.,lowell,jensen,l,1,1382791,1172,jensen,delwen,lowell, ,NA,NA,1928,Brigham City,UT,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Ronald Reagan,Republican,,,Well Qualified,CAND0804, ,,6/2/86,"University of California, Berkeley",A.B.,1949,"University of California, Berkeley, School of Law",LL.B.,1952,,,,,,NA,,,NA,"U.S. Army corporal, 1952-1954; Private practice, Oakland, California, 1954-1955; Alameda County [California] District Attorney's Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981; U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986; Member, U.S. Judicial Panel on Multidistrict Litigation, 2000-2008",,1345,Republican,Ronald Reagan,USDC,"U. S. District Court, Northern District of California",CA,6/2/86,NA,NA,0.759,0.349,0.721,0.69,0.98,0.349,0.721,-0.124,-0.097,0,0,1,1928,M,White,Well Qualified,"University of California, Berkeley, Boalt Hall School of Law","U.S. Army corporal, 1952-1954<BR>Private practice, Oakland, California, 1954-1955<BR>Alameda County [California] District Attorney`s Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981<BR>U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986",1997,1986,1,A.B.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,1997,NA,NA,"U. S. District Court, Northern District of California",,NA,l,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
5,204,1994-1994-cityox-002,City of Richmond v. United States,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-FG80-003B-V1F9-00000-00&context=1516831&sourcegroupingtype=G,1994 U.S. Dist. LEXIS 14948,C-89-2935-DLJ and related case C-92-4176-DLJ%C-89-2935-DLJ and related case C-92-4176-DLJ,89-02935%92-04176,"Settlement of a city's CERCLA claim against the United States barred a corporation's claim for indemnification against the United States until the corporation, by amendment, pleaded an implied-in-fact contract as a basis for indemnification.",U.S. Federal,United States District Court for the Northern District of California,7/20/94,united states,fed,kaiser aluminum & chemical corporation,industry,d. lowell jensen,plaintiff,none,none,california,cercla,none,fees for cleanup,toxic waste disposal,pollutants,1,yes,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Production,d. lowell jensen,d.,lowell,jensen,l,1,1382791,1172,jensen,delwen,lowell, ,NA,NA,1928,Brigham City,UT,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Ronald Reagan,Republican,,,Well Qualified,CAND0804, ,,6/2/86,"University of California, Berkeley",A.B.,1949,"University of California, Berkeley, School of Law",LL.B.,1952,,,,,,NA,,,NA,"U.S. Army corporal, 1952-1954; Private practice, Oakland, California, 1954-1955; Alameda County [California] District Attorney's Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981; U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986; Member, U.S. Judicial Panel on Multidistrict Litigation, 2000-2008",,1345,Republican,Ronald Reagan,USDC,"U. S. District Court, Northern District of California",CA,6/2/86,NA,NA,0.759,0.349,0.721,0.69,0.98,0.349,0.721,-0.124,-0.097,0,0,1,1928,M,White,Well Qualified,"University of California, Berkeley, Boalt Hall School of Law","U.S. Army corporal, 1952-1954<BR>Private practice, Oakland, California, 1954-1955<BR>Alameda County [California] District Attorney`s Office, 1955-1981; deputy district attorney, 1955-1966; assistant district attorney, 1966-1969; district attorney, 1969-1981<BR>U.S. Department of Justice, 1981-1986; assistant attorney general, Criminal Division, 1981-1983; associate attorney general, 1983-1985; deputy attorney general, 1985-1986",1997,1986,1,A.B.,0,0,0,0.396,NA,,NA,3000,,NA,3000,NA,NA,NA,1997,NA,NA,"U. S. District Court, Northern District of California",,NA,l,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
6,51,1975-0410-mainex-001,Maine C. R. Co. v. Interstate Commerce Com.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4V-NMX0-0054-6300-00000-00&context=1516831&sourcegroupingtype=G,410 F. Supp. 653,Civ. A. No. 75-157,75-00157,none,U.S. Federal,United States District Court for the District of Columbia,2/24/75,maine central railroad company,industry,interstate commerce commission%amoskeag company,fed%industry,d.j. green,plaintiff,none,stb,district of columbia,nepa,none,seek information,other-environmental,administrative law,2,yes,0,none,0,none,0,no,0,none,0,none,0,About enviornmental but adminsitative law,unknown,unknown,conservation,Regulations/Policy%Legal,d.j. green,d.j.,,green,NA,1,1381491,910,green,june,lazenby, ,1,23,1914,Arnold,MD,2,2,2001,Arnold,MD,Female,White,U.S. District Court,U.S. District Court for the District of Columbia,Judge,Lyndon B. Johnson,Democratic,,,Qualified,DCD1502, ,,4/11/68,"American University, Washington College of Law",J.D.,1941,,,,,,,,,NA,,,NA,"Lumberman's Mutual Casualty Company, Washington, D.C., 1942-1947; claims adjuster, 1942-1943; claims attorney, 1943-1947; Private practice, Washington, D.C., and Annapolis, Maryland, 1947-1968",,2085,Democratic,Lyndon B. Johnson,USDC,U. S. District Court for the District of Columbia,MD,4/11/68,NA,NA,0,-0.308,NA,-0.346,NA,-0.308,NA,-0.239,-0.314,0,0,0,1914,F,White,Qualified,"American University, Washington College of Law","Lumberman`s Mutual Casualty Company, Washington, D.C., 1942-1947; claims adjuster, 1942-1943; claims attorney, 1943-1947<BR>Private practice, Washington, D.C., and Annapolis, Maryland, 1947-1968<BR>",1984,1968,3,J.D.,0,0,0,0.03,NA,,NA,3000,,NA,3000,NA,NA,NA,1984,NA,NA,U. S. District Court for the District of Columbia,,NA,l,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,june green not dj green
7,144,2013-2013-catawb-001,"Catawba Riverkeeper Found., Inc. v. Duke Energy Carolinas, LLC",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5BFP-GS01-F04D-R405-00000-00&context=1516831&sourcegroupingtype=G,2013 U.S. Dist. LEXIS 184717,CIVIL ACTION NO. 3:13-CV-00355-MOC-DSC,13-00355,none,U.S. Federal,"United States District Court for the Western District of North Carolina, Charlotte Division",12/4/13,catawba riverkeeper foundation,ngo,duke energy carolinas,industry,david s. cayer,defendant,none,none,north carolina,cwa,none,stop water pollution,river%lake%toxic waste disposal,discharge of toxic metals and other pollutants,0,no,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Freshwater%Hazardous Substance,waste & pollution,Waste Management,david s. cayer,david,s.,cayer,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,
8,119,2005-2005-united-032,"United States ex rel. Darian v. Accent Builders, Inc",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5VJW-TFH1-F873-B28J-00000-00&context=1516831&sourcegroupingtype=G,2005 U.S. Dist. LEXIS 51442,CV 00 - 10255 FMC (JWJx),00-10255,none,U.S. Federal,United States District Court for the Central District of California,1/6/05,united states,fed,international hardwoods inc%los angeles sheriff's department,industry%local,florence marie cooper,defendant,none,epa,california,cwa%rcra,none,establish liability,hazardous waste,pollution clean up costs,0,no,5,equal protection%fourteenth amendment,0,none,0,no,0,none,0,none,0,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,florence marie cooper,florence,marie,cooper,m,1,1391061,2845,cooper,florence-marie, , ,2,9,1940,"Vancouver, British Columbia",Canada,1,15,2010,Santa Monica,CA,Female,White,U.S. District Court,U.S. District Court for the Central District of California,Judge,William J. Clinton,Democratic,,,Well Qualified,CACD2402, ,,7/14/99,City College of San Francisco,,1971,Whittier College School of Law,J.D.,1975,,,,,,NA,,,NA,"Law clerk, Hon. Arthur Alarcón, Superior Court of California, County of Los Angeles, Appellate Department, 1975-1977; Deputy city attorney, Los Angeles, California, 1977; Senior research attorney, Hon. Arthur Alarcon, California Court of Appeal, Second District, 1978-1980; Senior research attorney, Hon. Arleigh M. Woods, California Court of Appeal, Second District, 1980-1983; Adjunct professor, San Fernando Valley College School of Law, 1980-1985; Commissioner, Superior Court of California, County of Los Angeles, 1983-1990; Judge, Los Angeles [California] Municipal Court, 1990-1991; Judge, Superior Court of California, County of Los Angeles, 1991-1999",,731,Democratic,William J. Clinton,USDC,"U. S. District Court, Central District of California",CA,7/14/99,52398705273,-0.464,-0.464,-0.36,-1.038,-0.452,-0.79,-0.36,-1.038,-0.073,-0.138,0,0,0,1940,F,White,Well Qualified,Whittier College School of Law,"Law clerk, Hon. Arthur Alarcon, Superior Court of California, County of Los Angeles, Appellate Department, 1975-1977<BR>Deputy city attorney, Los Angeles, California, 1977<BR>Senior research attorney, Hon. Arthur Alarcon, California Court of Appeal, Second District, 1978-1980<BR>Senior research attorney, Hon. Arleigh M. Woods, California Court of Appeal, Second District, 1980-1983<BR>Adjunct professor, San Fernando Valley College School of Law, 1980-1985<BR>Commissioner, Superior Court of California, County of Los Angeles, 1983-1990<BR>Judge, Los Angeles [California] Municipal Court, 1990-1991<BR>Judge, Superior Court of California, County of Los Angeles, 1991-1999",2010,1999,6, ,0,0,2,0.383,-1.019775689,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, Central District of California",,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
9,156,1986-1986-united-013,United States v. Medley,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-95H0-0039-R4S3-00000-00&context=1516831&sourcegroupingtype=G,1986 U.S. Dist. LEXIS 23365,Civil Action No. 7:86-252-3,86-00252,none,U.S. Federal,"United States District Court for the District of South Carolina, Spartanburg Division",7/1/86,"abco industries, inc.%basf corporation%polymer industries%tanner chemical company",industry,milliken & company%national starch and chemical corporation,industry,"g. ross anderson, jr.",defendant,third-party defendant cannot be absolved via summary judgement before trial,none,south carolina,cercla,none,assign cercla damages,toxic waste disposal,cercla liability,0,yes,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Cost and Liability,g. ross anderson,g.,ross,anderson,r,1,1377186,43,anderson,george,ross,Jr.,1,29,1929,Anderson,SC,12,1,2020, ,SC,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Jimmy Carter,Democratic,,,Qualified,SCD0202, ,,4/18/80,Southeastern University,B.C.S.,1949,George Washington University,,1949-1951,University of South Carolina School of Law,LL.B.,1954,,,NA,,,NA,"Legislative assistant, U.S. Sen. Olin Johnston of South Carolina, 1947-1951, 1953-1954; U.S. Air Force staff sergeant, 1951-1952; Private practice, Anderson, South Carolina, 1954-1980; State representative, South Carolina, 1955-1956",,1624,Democratic,Jimmy Carter,USDC,"U. S. District Court, District of South Carolina",SC,4/18/80,NA,NA,-0.574,-0.285,-0.221,-0.521,-0.27,-0.285,-0.221,-0.076,0.121,0,0,0,1929,M,White,Qualified,University of South Carolina School of Law,"Legislative assistant, U.S. Sen. Olin Johnston, South Carolina, 1947-1951, 1953-1954<BR>U.S. Air Force staff sergeant, 1951-1952<BR>Private practice, Anderson, South Carolina, 1954-1980<BR>State representative, South Carolina, 1955-1956",2009,1980,6,B.C.S.,0,0,0,-0.451,NA,,NA,3000,,NA,3000,NA,NA,NA,2009,NA,NA,"U. S. District Court, District of South Carolina",,NA,r,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
10,146,1987-1987-intern-001,International Surplus Lines Ins. Co. v. Anderson Dev. Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-BM30-003B-61NM-00000-00&context=1516831&sourcegroupingtype=G,1987 U.S. Dist. LEXIS 13987,C.A. No. 86-CV-60392-AA,86-60392,"Insurer was not obligated to defend insured in connection with EPA consent order concerning insured's ongoing release of pollutants because ongoing release was not ""sudden and accidental"" within the meaning of the policy.",U.S. Federal,"United States District Court for the Eastern District of Michigan, Southern Division",10/9/87,international surplus lines insurance co,industry,anderson development co,industry,george la plata,plaintiff,none,none,michigan,cercla,none,stop chemical pollution,river%toxic waste disposal,curene 442 from chemical processing plant found in wastewater,2,yes,0,none,0,none,0,no,0,none,0,none,1,none,Landscapes%Anthropogenic,Freshwater%Hazardous Substance,waste & pollution,Production,george la plata,george,la,plata,l,1,1383616,1339,la plata,george, , ,10,17,1924,Detroit,MI,11,14,2010,Naples,FL,Male,Hispanic,U.S. District Court,U.S. District Court for the Eastern District of Michigan,Judge,Ronald Reagan,Republican,,,Well Qualified,MIED1401,98 Stat. 333,,2/27/85,Wayne University (now Wayne State University),A.B.,1951,Detroit College of Law (now Michigan State University College of Law),LL.B.,1956,,,,,,NA,,,NA,"U.S. Marine Corps, 1943-1946, 1952-1954; Private practice, Detroit, Michigan, 1956-1979; Judge, Michigan Circuit Court, Sixth Judicial Circuit, 1979-1985; Professor, Detroit College of Law, 1985-1986","Nominated to U.S. District Court for the Eastern District of Michigan, September 11, 1984; no Senate vote",1405,Republican,Ronald Reagan,USDC,"U. S. District Court, Eastern District of Michigan",MI,2/27/85,3780450303,1.129,1.129,0.69,0.98,0.69,0.98,-0.4145,-0.458,-0.236,-0.152,1,1,1,1924,M,Hispanic,Well Qualified,Detroit College of Law (now Michigan State University College of Law),"U.S. Marine Corps, 1943-1946, 1952-1954<BR>Private practice, Detroit, Michigan, 1956-1979<BR>Judge, Michigan Circuit Court, Sixth Judicial Circuit, 1979-1985<BR>Professor, Detroit College of Law, 1985-1986<BR><BR>Nominated to U.S. District Court for the Eastern District of Michigan, September 11, 1984; no Senate vote",1996,1985,5,A.B.,0,0,1,0.396,0.944158088,,NA,3000,,NA,3000,NA,NA,NA,NA,NA,NA,"U. S. District Court, Eastern District of Michigan",,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,
