Court,district
United States District Court for the District of Rhode Island,3
"District Court, D. Wyoming",89
United States District Court for the District of Colorado,82
United States District Court for the District of Massachusetts,1
United States District Court for the Western District of New York,9
"United States District Court for the District of South Dakota, Southern Division",69
"United States District Court for the District of Montana, Missoula Division",77
"United States District Court for the District of South Carolina, Charleston Division",20
United States District Court for the Eastern District of Pennsylvania,13
United States District Court for the District of Columbia,90
United States District Court for the District of Minnesota,64
United States District Court for the District of Maine,0
"United States District Court for the District of Oregon, Medford Division",79
United States District Court for the Central District of California,73
United States District Court for the District of Maryland,16
United States District Court for the Northern District of New York,6
"District Court, S.d. Georgia, Savannah Division",3J
"District Court, S.d. Illinois, S.d.",54
United States District Court for the District of Idaho,76
"District Court, D. Idaho, S.d.",76
"United States District Court for the Southern District of West Virginia, Charleston Division",25
"United States District Court for the Middle District of Florida, Tampa Division",3A
"United States District Court for the Western District of Missouri, Western Division",66
United States District Court for the Southern District of California,74
"United States District Court for the Northern District of Ohio, Eastern Division",47
"United States District Court for the District of South Dakota, Central Division",69
"United States District Court for the Eastern District of Washington, Southern Division",80
"United States District Court for the Eastern District of Tennessee, Northern Division",49
"United States District Court for the Northern District of Georgia, Atlanta Division",3E
United States District Court for the Western District of Pennsylvania,15
"United States District Court for the Western District of Michigan, Southern Division",46
"United States District Court for the District of North Dakota, Southeastern Division",68
"United States District Court for the Southern District of Ohio, Eastern Division",48
United States District Court for the District of Alaska,7-
United States District Court for the Southern District of New York,8
"United States District Court for the Northern District of Illinois, Eastern Division",52
"United States District Court for the District of Minnesota, Fourth Division",64
"United States District Court for the Western District of Texas, El Paso Division",42
United States District Court for the Eastern District of California,72
"United States District Court for the Southern District of Texas, Galveston Division",41
United States District Court for the District of Hawaii,75
"United States District Court for the Eastern District of Missouri, Eastern Division",65
United States District Court for the District of New Jersey,12
United States District Court for the Northern District of California,71
"District Court, S.d. California, Central Division",73
United States District Court for the District of New Mexico,84
"United States District Court for the Western District of Arkansas, Hot Springs Division",61
"United States District Court for the Eastern District of Virginia, Norfolk Division",22
"United States District Court for the Southern District of Texas, Houston Division",41
"United States District Court for the Southern District of Ohio, Western Division",48
"United States District Court for the District of Utah, Central Division",88
United States District Court for the District of Connecticut,5
"District Court, D. Connecticut",5
United States District Court for the District of Vermont,10
"United States District Court for the Western District of Virginia, Roanoke Division",23
"United States District Court for the District of Montana, Billings Division",77
"United States District Court for the Eastern District of Virginia, Richmond Division",22
United States District Court for the Western District of Washington,81
"United States District Court for the District of Montana, Helena Division",77
United States District Court for the District of Puerto Rico,4
"United States District Court for the Northern District of Florida, Pensacola Division",29
"United States District Court for the Eastern District of Michigan, Southern Division",45
United States District Court for the District of Oregon,79
United States District Court for the Central District of Illinois,53
United States District Court for the Eastern District of New York,7
"United States District Court for the Southern District of Alabama, Southern Division",28
United States District Court for the District of Utah,88
"United States District Court for the District of the Virgin Islands, Division of St. Thomas and St. John",91
"United States District Court for the District of Minnesota, Fifth Division",64
"United States District Court for the Eastern District of Tennessee, Knoxville Division",49
United States District Court for the District of Nevada,78
"United States District Court for the Southern District of California, Southern Division",74
United States District Court for the Middle District of North Carolina,18
United States District Court for the Eastern District of Louisiana,3L
"United States District Court for the Western District of Texas, Austin Division",42
United States District Court for the District of Arizona,70
"United States District Court for the District of New Jersey, Camden Vicinage Division",12
"United States District Court for the Middle District of Alabama, Northern Division",27
"United States District Court for the Middle District of Georgia, Macon Division",3G
United States District Court for the District of Wyoming,89
"United States District Court for the Eastern District of South Carolina, Columbia Division,",20
"United States District Court for the Western District of Michigan, Northern Division",46
"United States District Court for the Eastern District of Arkansas, Western Division",60
United States District Court for the District of Delaware,11
"District Court, E.d. Washington, S.d.",80
United States District Court for the District of Columbia.,90
United States District Court for the Western District of Oklahoma,87
United States District Court for the Northern District of Illinois Eastern Division,52
United States District Court for the Western District of Tennessee,51
"District Court, D. Colorado",82
United States District Court for the Northern District of Georgia Newnan Division,3E
"United States District Court for the Southern District of Georgia,savannah Division",3J
United States District Court for the Southern District of Indiana Indianapolis Division,56
"United States District Court for the District of the Virgin Islands, St. Thomas and St. John Division",91
United States District Court for the Southern District of Florida,3C
#N/A,ZZ
"United States District Court for the District of South Carolina, Columbia Division",20
"United States District Court for the Eastern District of North Carolina, Raleigh Division",17
United States District Court for the Southern District of Illinois,54
"United States District Court for the Northern District of Ohio, Western Division",47
"United States District Court for the Northern District of Iowa, Central Division",62
"United States District Court for the Central District of Illinois, Springfield Division",53
United States District Court for the Northern District of Indiana,55
"United States District Court for the Northern District of Alabama, Southern Division",26
United States District Court for the Eastern District of Wisconsin,57
United States District Court for the Eastern District of Kentucky At Lexington,43
"United States District Court for the Eastern District of Tennessee, Northeastern Division",49
"United States District Court for the District of South Carolina, Spartanburg Division",20
"United States District Court for the Western District of Louisiana, Monroe Division",36
"United States District Court for the Eastern District of Tennessee, Southern Division",49
"United States District Court for the Western District of Virginia, Danville Division",23
"the United States District Court for the Western District of Missouri, Western Division",66
"United States District Court for the Southern District of Georgia, Augusta Division",3J
United States District Court for the District of Kansas,83
"United States District Court for the District of the Virgin Islands, Division of St. Croix",91
United States District Court for the Virgin Islands,91
"United States District Court for the Southern District of Indiana, Indianapolis Division",56
United States District Court for the Middle District of Louisiana,3N
"United States District Court for the Northern District of Georgia, Rome Division",3E
"United States District Court for the Middle District of North Carolina, Rockingham Division",18
"United States District Court for the Southern District of Mississippi, Jackson Division",38
United States District Court for the Middle District of Pennsylvania,14
"United States District Court for the Middle District of Tennessee, Nashville Division",50
"United States District Court for the Northern District of Illinois, Western Division",52
"United States District Court for the Southern District of Mississippi, Western Division",38
United States District Court for the District of New Hampshire,2
United States District Court for the Western District of Michigan,46
"United States District Court for the Western District of Washington, Seattle Division",81
"United States District Court for the Eastern District of Virginia, Newport News Division",22
"United States District Court for the Western District of North Carolina, Charlotte Division",19
"United States District Court for the Eastern District of Texas, Beaumont Division",40
"United States District Court for the District of North Dakota, Southwestern Division",68
United States District Court for the Northern District of Oklahoma,85
"United States District Court for the Western District of Texas, Midland - Odessa Division",42
"United States District Court for the Western District of Louisiana, Lafayette Division",36
United States District Court for the Northern District of West Virginia,24
"United States District Court for the District of Montana, Butte Division",77
"United States District Court for the Middle District of North Carolina, Durham Division",18
"United States District Court for the Southern District of Georgia, Savannah Division",3J
"United States District Court for the Eastern District of Texas, Tyler Division",40
"United States District Court for the Middle District of Florida, Fort Myers Division",3A
"United States District Court for the Western District of Kentucky, Louisville Division",44
"United States District Court for the Northern District of Mississippi, Eastern Division",37
"United States District Court for the Northern District of Alabama, Northeastern Division",26
